latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.5,-0.120000124,23.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),is_day (),precipitation (mm),rain (mm),showers (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),pressure_msl (hPa),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2024-02-08T11:45,6.0,93,3.1,1,0.00,0.00,0.00,0.00,61,100,989.9,987.1,11.2,96,32.4

time,temperature_2m (°C),relative_humidity_2m (%),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),snowfall (cm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_speed_120m (km/h),wind_speed_180m (km/h),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),direct_radiation (W/m²)
2024-02-08T00:00,5.4,90,3,0.00,0.00,0.00,0.00,100,39,91,97,4.8,9.2,11.6,14.4,4.7,4.3,3.8,0.0
2024-02-08T01:00,5.2,89,5,0.00,0.00,0.00,0.00,100,40,83,100,5.5,10.7,13.0,15.5,4.5,4.2,3.8,0.0
2024-02-08T02:00,5.1,90,8,0.00,0.00,0.00,0.00,100,55,99,100,5.1,10.3,12.9,15.5,4.4,4.1,3.7,0.0
2024-02-08T03:00,5.2,91,10,0.00,0.00,0.00,0.00,100,82,100,100,7.6,13.8,18.1,22.0,4.5,4.2,3.9,0.0
2024-02-08T04:00,5.4,91,30,0.10,0.10,0.00,0.00,100,100,98,44,9.9,18.2,20.6,25.6,4.7,4.2,3.8,0.0
2024-02-08T05:00,5.5,90,51,0.30,0.30,0.00,0.00,100,100,90,100,10.8,19.8,23.1,25.4,4.8,4.4,3.8,0.0
2024-02-08T06:00,5.6,90,71,0.10,0.10,0.00,0.00,100,100,100,100,11.3,21.0,24.4,26.6,4.9,4.4,4.0,0.0
2024-02-08T07:00,5.5,92,81,2.40,2.40,0.00,0.00,100,100,100,100,11.9,21.6,24.5,27.6,4.8,4.3,3.8,0.0
2024-02-08T08:00,5.3,90,90,2.20,2.20,0.00,0.00,100,100,100,100,17.3,31.0,34.6,38.3,4.6,4.1,3.6,0.0
2024-02-08T09:00,5.3,91,100,0.90,0.90,0.00,0.00,100,100,100,100,14.1,25.8,29.5,31.5,4.5,4.0,3.5,0.0
2024-02-08T10:00,5.4,91,100,2.80,2.80,0.00,0.00,100,99,100,100,14.4,25.6,28.5,31.9,4.6,4.1,3.6,0.0
2024-02-08T11:00,5.7,92,100,0.70,0.70,0.00,0.00,100,100,100,100,14.0,24.5,27.2,30.0,4.9,4.5,4.0,1.0
2024-02-08T12:00,6.1,93,100,0.20,0.20,0.00,0.00,100,100,100,100,10.5,18.7,22.4,23.5,5.3,5.0,4.7,1.0
2024-02-08T13:00,6.7,93,92,0.00,0.00,0.00,0.00,100,100,90,100,5.8,8.2,13.4,26.4,6.6,7.9,8.6,2.0
2024-02-08T14:00,8.0,94,85,0.00,0.00,0.00,0.00,100,100,100,100,1.6,15.0,26.0,35.3,10.0,10.6,10.5,0.0
2024-02-08T15:00,11.3,90,77,0.00,0.00,0.00,0.00,100,85,100,100,13.1,28.8,34.6,38.8,11.5,11.1,10.7,1.0
2024-02-08T16:00,11.5,90,85,0.00,0.00,0.00,0.00,100,100,100,100,12.9,25.9,30.4,34.0,11.3,10.9,10.4,0.0
2024-02-08T17:00,11.2,89,92,0.40,0.40,0.00,0.00,100,97,100,100,17.3,32.9,37.9,41.9,10.8,10.4,10.0,0.0
2024-02-08T18:00,10.7,88,100,1.50,1.50,0.00,0.00,100,100,100,100,16.3,31.0,35.6,39.8,10.3,9.9,9.4,0.0
2024-02-08T19:00,10.4,87,100,1.20,1.20,0.00,0.00,100,99,100,100,16.7,32.2,37.5,42.5,9.9,9.5,9.1,0.0
2024-02-08T20:00,10.3,88,100,1.00,1.00,0.00,0.00,100,100,100,100,13.7,27.5,32.6,37.2,9.9,9.6,9.1,0.0
2024-02-08T21:00,10.3,90,100,1.20,1.20,0.00,0.00,100,100,100,100,12.3,25.3,30.5,36.1,10.0,9.6,9.2,0.0
2024-02-08T22:00,10.5,90,99,1.90,1.90,0.00,0.00,100,100,100,89,15.8,31.7,37.8,43.7,10.2,9.8,9.4,0.0
2024-02-08T23:00,10.9,87,98,0.10,0.00,0.10,0.00,96,89,82,37,17.9,34.7,40.5,46.1,10.6,10.2,9.8,0.0
2024-02-09T00:00,10.9,88,97,0.30,0.20,0.10,0.00,100,98,100,100,19.5,36.9,42.4,47.7,10.5,10.1,9.7,0.0
2024-02-09T01:00,11.0,88,94,0.20,0.20,0.10,0.00,100,88,71,100,19.5,37.7,44.0,49.1,10.7,10.3,9.8,0.0
2024-02-09T02:00,11.1,87,90,0.00,0.00,0.00,0.00,100,100,78,100,18.5,36.1,42.0,47.5,10.7,10.3,9.8,0.0
2024-02-09T03:00,11.2,85,87,0.00,0.00,0.00,0.00,100,90,100,100,19.2,36.1,41.5,46.5,10.8,10.4,9.9,0.0
2024-02-09T04:00,11.0,85,78,0.70,0.60,0.10,0.00,100,79,86,100,19.3,36.9,42.6,47.7,10.6,10.2,9.7,0.0
2024-02-09T05:00,10.7,84,70,0.00,0.00,0.00,0.00,100,70,42,98,18.8,35.9,41.3,46.2,10.3,9.9,9.4,0.0
2024-02-09T06:00,10.6,84,61,0.00,0.00,0.00,0.00,99,78,85,89,18.7,35.1,40.1,44.9,10.3,9.9,9.4,0.0
2024-02-09T07:00,10.4,84,62,0.00,0.00,0.00,0.00,97,65,73,74,17.7,34.5,40.2,45.4,10.1,9.7,9.2,0.0
2024-02-09T08:00,10.2,85,64,0.00,0.00,0.00,0.00,96,49,22,90,17.6,33.8,39.6,45.4,9.9,9.5,9.1,1.0
2024-02-09T09:00,10.6,83,65,0.00,0.00,0.00,0.00,100,66,97,82,18.7,35.1,40.2,45.2,10.1,9.7,9.2,12.0
2024-02-09T10:00,10.9,82,63,0.00,0.00,0.00,0.00,100,80,80,100,19.9,37.1,42.2,47.5,10.3,9.9,9.4,0.0
2024-02-09T11:00,11.0,82,60,0.10,0.10,0.00,0.00,100,99,100,100,21.4,39.8,45.2,49.8,10.4,10.0,9.5,0.0
2024-02-09T12:00,11.0,82,58,0.70,0.70,0.00,0.00,100,100,100,100,23.8,44.7,50.9,56.4,10.5,10.0,9.5,0.0
2024-02-09T13:00,11.5,78,58,0.30,0.30,0.00,0.00,100,64,97,73,25.1,46.0,51.4,56.0,10.9,10.5,9.9,1.0
2024-02-09T14:00,12.3,72,58,0.00,0.00,0.00,0.00,97,65,75,63,24.2,43.1,47.9,51.7,11.4,10.9,10.3,63.0
2024-02-09T15:00,12.4,72,58,0.00,0.00,0.00,0.00,91,56,67,32,21.9,39.3,43.3,46.4,11.6,11.1,10.5,78.0
2024-02-09T16:00,11.8,78,46,0.00,0.00,0.00,0.00,94,77,76,45,18.9,34.8,38.9,42.4,11.1,10.7,10.1,18.0
2024-02-09T17:00,11.2,81,35,0.00,0.00,0.00,0.00,100,74,16,100,16.4,30.8,34.9,38.5,10.7,10.2,9.7,2.0
2024-02-09T18:00,10.6,84,23,0.00,0.00,0.00,0.00,89,61,9,57,14.8,28.7,33.3,37.7,10.3,9.9,9.4,0.0
2024-02-09T19:00,10.2,87,21,0.00,0.00,0.00,0.00,90,66,23,56,12.4,25.3,30.4,34.9,9.9,9.5,9.1,0.0
2024-02-09T20:00,9.9,89,18,0.00,0.00,0.00,0.00,90,72,54,36,9.5,21.1,26.2,30.0,9.6,9.3,8.9,0.0
2024-02-09T21:00,9.7,92,16,0.00,0.00,0.00,0.00,98,97,57,0,7.6,18.5,24.2,28.4,9.5,9.2,8.9,0.0
2024-02-09T22:00,9.6,93,17,0.00,0.00,0.00,0.00,94,86,53,4,6.9,17.9,23.4,28.3,9.6,9.3,8.9,0.0
2024-02-09T23:00,9.5,94,18,0.00,0.00,0.00,0.00,92,83,80,0,7.0,17.7,23.4,27.9,9.5,9.2,8.8,0.0
2024-02-10T00:00,9.5,93,19,0.00,0.00,0.00,0.00,97,84,86,56,6.9,18.0,22.7,27.1,9.5,9.3,8.9,0.0
2024-02-10T01:00,9.4,92,20,0.00,0.00,0.00,0.00,95,82,75,31,5.8,15.3,19.2,22.8,9.4,9.1,8.7,0.0
2024-02-10T02:00,9.2,94,22,0.00,0.00,0.00,0.00,100,54,59,100,5.0,13.8,17.3,20.7,9.3,9.0,8.6,0.0
2024-02-10T03:00,9.0,95,23,0.00,0.00,0.00,0.00,100,66,66,100,4.3,11.8,15.0,18.0,9.1,8.8,8.5,0.0
2024-02-10T04:00,8.8,96,23,0.00,0.00,0.00,0.00,100,88,100,100,3.6,9.9,12.2,14.2,8.9,8.6,8.2,0.0
2024-02-10T05:00,8.9,95,23,0.00,0.00,0.00,0.00,100,93,92,100,4.3,11.7,14.7,16.4,8.8,8.6,8.3,0.0
2024-02-10T06:00,8.9,95,23,0.00,0.00,0.00,0.00,100,76,63,100,3.4,9.0,11.3,13.2,8.8,8.6,8.2,0.0
2024-02-10T07:00,8.7,96,23,0.00,0.00,0.00,0.00,100,95,100,95,2.7,6.5,8.0,9.2,8.5,8.2,7.8,0.0
2024-02-10T08:00,8.7,95,23,0.00,0.00,0.00,0.00,100,70,91,100,3.8,9.4,11.3,12.9,8.4,8.0,7.7,0.0
2024-02-10T09:00,8.8,92,23,0.00,0.00,0.00,0.00,100,57,87,100,4.3,9.2,11.0,12.4,8.2,7.9,7.4,1.0
2024-02-10T10:00,9.1,89,29,0.00,0.00,0.00,0.00,100,60,100,100,4.3,6.6,8.6,11.1,8.0,7.3,6.8,0.0
2024-02-10T11:00,9.5,86,36,0.00,0.00,0.00,0.00,100,58,100,100,3.6,4.6,4.6,6.1,8.3,7.6,6.8,4.0
2024-02-10T12:00,9.8,83,42,0.10,0.10,0.00,0.00,100,61,100,100,3.4,4.2,4.5,4.7,8.5,7.8,6.9,1.0
2024-02-10T13:00,9.9,81,41,0.10,0.10,0.00,0.00,100,60,100,100,3.9,5.4,5.7,5.7,8.7,8.0,7.1,5.0
2024-02-10T14:00,10.1,78,40,0.10,0.10,0.00,0.00,100,41,100,100,3.9,5.7,5.7,6.2,8.9,8.2,7.3,3.0
2024-02-10T15:00,10.1,77,39,0.00,0.00,0.00,0.00,100,34,91,100,2.4,3.5,3.5,4.0,9.0,8.3,7.5,1.0
2024-02-10T16:00,10.0,78,39,0.00,0.00,0.00,0.00,100,9,82,100,2.6,3.9,3.9,4.6,9.2,8.5,7.6,1.0
2024-02-10T17:00,9.6,83,39,0.00,0.00,0.00,0.00,100,13,80,100,2.6,6.5,7.8,8.7,9.2,8.5,7.7,0.0
2024-02-10T18:00,9.0,86,39,0.00,0.00,0.00,0.00,100,43,75,100,2.9,9.0,11.4,13.1,9.0,8.4,7.7,0.0
2024-02-10T19:00,8.5,89,39,0.00,0.00,0.00,0.00,100,44,47,100,3.7,11.4,14.0,14.3,8.6,8.0,7.3,0.0
2024-02-10T20:00,7.6,92,39,0.00,0.00,0.00,0.00,100,7,0,99,3.4,10.6,13.0,13.0,8.0,7.5,6.8,0.0
2024-02-10T21:00,6.9,92,39,0.00,0.00,0.00,0.00,33,0,0,33,1.0,5.5,7.6,9.7,7.7,7.3,6.9,0.0
2024-02-10T22:00,6.4,92,36,0.00,0.00,0.00,0.00,0,0,0,0,2.9,2.1,3.4,6.1,7.5,7.2,6.9,0.0
2024-02-10T23:00,5.8,96,32,0.00,0.00,0.00,0.00,41,41,0,0,2.9,3.9,5.0,8.0,7.4,7.0,6.7,0.0
2024-02-11T00:00,5.5,98,29,0.00,0.00,0.00,0.00,80,74,21,0,3.7,5.8,5.2,7.1,7.3,7.1,6.8,0.0
2024-02-11T01:00,5.5,97,30,0.00,0.00,0.00,0.00,87,77,48,0,3.1,6.3,4.7,5.2,7.3,7.1,6.8,0.0
2024-02-11T02:00,5.4,97,31,0.00,0.00,0.00,0.00,87,75,54,0,3.1,8.4,6.1,3.8,7.1,7.1,6.7,0.0
2024-02-11T03:00,5.3,97,32,0.10,0.00,0.10,0.00,93,89,69,0,2.4,7.1,5.8,3.6,6.8,6.9,6.5,0.0
2024-02-11T04:00,5.3,98,31,0.10,0.00,0.10,0.00,97,91,78,0,2.6,7.0,6.6,4.9,6.5,6.7,6.3,0.0
2024-02-11T05:00,5.2,98,30,0.20,0.00,0.20,0.00,97,90,79,0,3.3,8.5,8.9,8.8,6.3,6.4,6.1,0.0
2024-02-11T06:00,5.4,97,29,0.10,0.00,0.10,0.00,92,74,71,0,2.9,9.7,11.2,12.0,6.0,5.9,6.1,0.0
2024-02-11T07:00,5.3,97,33,0.00,0.00,0.00,0.00,98,88,91,0,2.6,10.1,13.8,16.6,5.5,5.5,5.9,0.0
2024-02-11T08:00,5.6,96,38,0.00,0.00,0.00,0.00,94,82,81,0,3.1,10.6,13.8,17.7,5.4,4.8,5.5,0.0
2024-02-11T09:00,5.9,91,42,0.00,0.00,0.00,0.00,82,68,32,0,7.3,11.8,12.1,18.6,4.7,4.1,5.4,16.0
2024-02-11T10:00,6.3,88,34,0.00,0.00,0.00,0.00,66,64,3,0,6.7,9.7,10.0,20.0,4.8,4.1,5.0,91.0
2024-02-11T11:00,7.7,79,27,0.00,0.00,0.00,0.00,54,54,0,0,10.0,15.7,16.2,16.1,6.1,5.4,4.5,181.0
2024-02-11T12:00,8.9,70,19,0.00,0.00,0.00,0.00,87,87,0,0,12.2,21.3,22.1,22.9,7.4,6.7,5.8,135.0
